Organization Name,Financial Institution Type,Native CDFI (Y/N),City,State,Zipcode,Address,Organization Website
"3CORE, Inc.",Loan Fund,N,Chico,CA,95973,2515 Ceanothus Ave Ste 105,http://www.3coreeedc.org
AAFE Community Development Fund,Loan Fund,N,New York,NY,10002--530,"2 Allen Street, 7th Floor",http://aafecdf.org/
"Access to Capital for Entrepreneurs, Inc.",Loan Fund,N,Cleveland,GA,30528--838,3173 Highway 129 North,http://www.aceloans.org
Accessity,Loan Fund,N,San Diego,CA,92114--222,404 Euclid Ave. Suite # 271,https://accessity.org/
Accion Opportunity Fund Community Development,Loan Fund,N,San Jose,CA,95113--112,"111 West St. John Street, Suite 800",https://aofund.org
"Accompany Capital, Inc.",Loan Fund,N,New York,NY,10271--309,"120 Broadway, Suite 230",www.accompanycapital.org
Acelera Financial Corp,Loan Fund,N,Los Angeles,CA,90071,"333 S. Grand Ave.
Suite 3310",www.acelerafinancial.com
ADIRONDACK ECONMIC DEVELOPMENT CORPORATION,Loan Fund,N,SARANAC LAKE,NY,12983--574,67 MAIN STREET SUITE 300,http://www.aedconline.com
"Affordable Homes of South Texas, Inc.",Loan Fund,N,McAllen,TX,78501--522,1420 Erie Ave.,www.ahsti.org
"Affordable Housing Resources, Inc.",Loan Fund,N,Nashville,TN,37228--152,"50 Vantage Way, Suite 107",www.ahrhousing.org
African Development Center,Loan Fund,N,Minneapolis,MN,55454--125,1931 South 5th Street,http://www.adcminnesota.org
African Economic Development Solutions,Loan Fund,N,St Paul,MN,55104--280,1821 University Ave W Suite S-125,http://aeds-mn.org/
"Akiptan, Inc.",Loan Fund,Y,Eagle Butte,SD,57625--085,PO Box 858,akiptan.org
"Alaska Benteh Capital, LLC",Loan Fund,N,Wasilla,AK,99687--156,PO Box 871565,http://www.alaskacdfi.org
"Alaska Growth Capital BIDCO, Inc.",Loan Fund,Y,Anchorage,AK,99503,"3800 Centerpoint Drive, Suite 1100",http://www.alaskagrowth.com
"Albany Community Together, Inc.",Loan Fund,N,Albany,GA,31701--281,230 South Jackson Street  Suite 333,www.albanycommunitytogether.com
"Allies for Community Business, Inc.",Loan Fund,N,Chicago,IL,60612--182,135 N. Kedzie,a4cb.org
AltCap,Loan Fund,N,Kansas City,MO,64111--153,"300 E. 39th Street, Suite  3G",http://www.altcap.org
American Community Capital,Loan Fund,N,Boston,MA,02110,"101 Arch Street, Floor 13",https://www.bfim.com/
"American Nonprofits, Inc.",Loan Fund,N,Santa Cruz,CA,95060,333 Front Street,www.americannonprofits.org
AnewAmerica CDFI,Loan Fund,N,Oakland,CA,94612,360 14th ST - 5th FL,http://www.anewamerica.org
Apex Fund for Economic Opportunities,Loan Fund,N,Akron,OH,44304,370 East Market Street,Non given
Apoyo Financiero Inc.,Loan Fund,N,Concord,CA,94520,"​2300 Clayton Road, Suite 1170",https://www.apoyo-financiero.com
"Appalachian Assistive Technology Loan Fund, Inc.",Loan Fund,N,King of Prussia,PA,19406--120,"1004 West 9th Avenue
1st Floor",Non given
Appalachian Community Capital Corporation,Loan Fund,N,Christiansburg,VA,24073--163,"110 Peppers Ferry Road, NW",appalachiancommunitycapitalcdfi.org
Arcata Economic Development Corporation,Loan Fund,N,Eureka,CA,95501,707 K Street,http://www.aedc1.org
Arkansas Capital Corporation,Loan Fund,N,Little Rock,AR,72201--176,200 River Market Ave  Suite 400,Non given
Ascendus Inc.,Loan Fund,N,New York,NY,10004,"25 Broadway, 10th Floor",ascendus.org
ASSETS Lancaster,Loan Fund,N,Lancaster,PA,17603,100 South Queen Street Suite 246,http://www.assetsPA.org
Aura Mortgage Advisors,Loan Fund,N,Boston,MA,02119--177,10 Malcolm X Blvd,http://auramortgage.com/
"B.S.D. Capital, Inc. dba Lendistry",Loan Fund,N,Los Angeles,CA,90021,"767 S. Alameda St., Suite 340",www.lendistry.com
Baba's Cooking School LLC dba EatsPlace,Loan Fund,N,Washington,DC,20010--162,3607 Georgia Ave NW,http://www.eatsplace.com
"BAC Funding Consortium, Inc.",Loan Fund,N,Miami,FL,33147--722,6600 NW 27th Avenue,www.bacfunding.com
"Baltimore Community Lending, Inc.",Loan Fund,N,Baltimore,MD,21201,"875 Hollins Street, Suite 301",www.bclending.org
Bankers Small Business CDC of California,Loan Fund,N,San Diego,CA,92106--611,2448 Historic Decatur Rd.   Suite 200,www.cdcloans.com
BDC Community Capital Corp.,Loan Fund,N,Wakefield,MA,01880,"500 Edgewater Drive
Suite 555",Non given
Beaufort County Black Chamber of Commerce,Loan Fund,N,Beaufort,SC,29902,711 Bladen Street,http://www.bcbcc.org
BEECH CAPITAL VENTURE CORPORATION,Loan Fund,N,PHILADELPHIA,PA,19121--341,1510 CECIL B. MOORE AVE. SUITE 302,www.beechinterplex.com
BetterFi,Loan Fund,N,Coalmont,TN,37313,9933 TN-56,https://www.betterfi.co
"Black Business Investment Fund, Inc.",Loan Fund,N,Orlando,FL,32801--273,301 E. Pine Street  Suite 175,www.bbif.com
"BLACK ECONOMIC DEVELOPMENT COALITION, INC.",Loan Fund,N,MIAMI,FL,33142--362,5120 NW 24th AVE,tfcmiami.org
"Black Hills Community Loan Fund, Inc.",Loan Fund,Y,Rapid City,SD,57703,"1764 Centre Street, Suite 1",www.bhclf.org
BlueHub Loan Fund Inc,Loan Fund,N,Boston,MA,02119--177,10 Malcolm X Boulevard,www.bluehubcapital.org
BOC Capital Corp.,Loan Fund,N,Brooklyn,NY,11217--160,"85 South Oxford, 2nd floor",www.boccapital.org
Border Financial Resources Inc,Loan Fund,N,San Luis,AZ,85349--680,"P. O. Box 730 - 963 E B Street, Suite 100",http://www.comiteaz.com/programs-border-financial-resources.html
"Brazos Valley CDC, Inc.",Loan Fund,N,Bryan,TX,77802,"4001 E. 29th Street, Suite 180",http://www.bvahc.org
Bridge Investment Community Development Corporation,Loan Fund,N,Rock Island,IL,61201--802,"100 19th Street
Suite 109",www.bridgeinvestmentcdc.org
"Bridgeway Capital, Inc.",Loan Fund,N,Pittsburgh,PA,15219,"310 Grant Street, Suite 2800",www.bridgewaycapital.org
"Brightbridge, Inc.",Loan Fund,N,Chattanooga,TN,37402,506 Broad Street,Non given
"Brooklyn Alliance Capital, Inc.",Loan Fund,N,Brooklyn,NY,11232--242,253 36th St Unit 17,https://www.brooklynchamber.com/services/financing/
"Build Fund, LLC",Loan Fund,N,indianapolis,IN,46202--181,1704 Bellefontaine Street,https://buildfund.org/
Building Hope Finance,Loan Fund,N,Washington,DC,20006--261,910 17th St. NW Ste 1100,http://www.bhope.org
Business Development Corp of SC,Loan Fund,N,Columbia,SC,29210--841,111 Executive Center Drive Ste 225,http://www.bdcofsc.org
Business Expansion Funding Corporation,Loan Fund,N,Charlotte,NC,28210,"5970 Fairview Rd.
Suite 218",https://www.befcor.com/
"BUSINESS RESOURCE AND INVESTMENT SERVICE CENTER, INC.",Loan Fund,N,New York,NY,10027--451,"55 West 125th St, 11th Floor",Non given
"Business Seed Capital, Inc.",Loan Fund,N,Roanoke,VA,24001--286,PO Box 2868,www.tapintohope.org
"Businesses Invest in Growth, Inc.",Loan Fund,N,Austin,TX,78754,"8000 Centre Park Dr., Suite 200",www.bigaustin.org
Butte Local Development Corporation,Loan Fund,N,Butte,MT,59703--050,PO BOX 507,http://www.bldc.net
CAHEC Capital Inc,Loan Fund,N,Raleigh,NC,27615--330,7700 Falls of Neuse Rd Ste 200,http://www.cahec.com
California Capital Small Business Financial Development Corporation,Loan Fund,N,Sacramento,CA,95815--432,"1792 Tribute Rd, Suite 270",www.cacapital.org
California Coastal Rural Development Corporation,Loan Fund,N,Salinas,CA,93901--047,221 Main Street  Suite 301,http://www.calcoastal.org
California Community Reinvestment Corp.,Loan Fund,N,Glendale,CA,91210,100 West Broadway  Suite 1000,http://e-ccrc.org
California FarmLink,Loan Fund,N,Aptos,CA,95003--395,335 Spreckels Dr. Suite F,http://www.californiafarmlink.org
CAMBA Economic Development Corporation,Loan Fund,N,Brooklyn,NY,11226--267,1720 Church Avenue,www.camba.org
"CANI’s Center for Community and Economic Development, Inc. dba Brightpoint Development Fund",Loan Fund,N,Fort Wayne,IN,46802,227 E. Washington Blvd.,http://www.mybrightpoint.org
Cape & Islands Community Development Inc.,Loan Fund,N,Centerville,MA,02632--142,5 Patti Page Way,http://www.coastalcommunitycapital.org
Capital for Change,Loan Fund,N,Wallingford,CT,06492--243,10 Alexander Drive,www.capitalforchange.org
Capital Impact Partners,Loan Fund,N,Arlington,VA,22202--416,"1400 Crystal Drive, Suite 500",www.capitalimpact.org
Capital Plus Financial,Loan Fund,N,Bedford,TX,76021,2247 Central Dr.,www.capitalplusfin.com
"Cares Project, Inc., The",Loan Fund,N,Winston Salem,NC,27103,"3410 Healy Drive, Suite 209",thecaresproject.org
"Carolina Community Impact, Inc.",Loan Fund,N,Raleigh,NC,27622,P.O. Box 30662,Non given
Carolina Small Business Development Fund (The Support Center),Loan Fund,N,Raleigh,NC,27604--103,3128 Highwoods Blvd  Suite 170,www.carolinasmallbusiness.org
Catalyst Development Corporation,Loan Fund,N,Savannah,GA,31401--550,"701 Martin Luther King, Jr. Blvd.",www.catalyst4people.org
