activity_year,HMDA_name,Number of Single Family Principle Residence Loans,CDFI Headquarter State, Average Loan Size , Totals ,"Bank, Credit Union or Loan Fund: B/C"
2022,CHANGE LENDING,7029,CA," $478,095.75 "," $3,360,535,000.00 ",LOAN FUND
2022,VERIDIAN CREDIT UNION,2705,IA," $223,905.73 "," $605,665,000.00 ",B
2022,QUONTIC BANK,2547,NY," $444,713.39 "," $1,132,685,000.00 ",B
2022,LOCAL GOVERNMENT FEDERAL CREDIT UNION,2125,NC," $229,607.06 "," $487,915,000.00 ",C
2022,ROYAL CREDIT UNION,1845,WI," $278,777.78 "," $514,345,000.00 ",C
2022,SUNCOAST CREDIT UNION,1126,FL," $277,158.08 "," $312,080,000.00 ",C
2022,COMMERCE BANK,1066,MS," $345,422.14 "," $368,220,000.00 ",B
2022,COVANTAGE CREDIT UNION,976,WI," $164,385.25 "," $160,440,000.00 ",C
2022,VYSTAR CREDIT UNION,938,FL," $302,249.47 "," $283,510,000.00 ",C
2022,DUPACO COMMUNITY CREDIT UNION,848,IA," $201,827.83 "," $171,150,000.00 ",C
2022,EMPOWER FEDERAL CREDIT UNION,823,NY," $168,669.50 "," $138,815,000.00 ",C
2022,BANKPLUS,819,MS," $338,565.32 "," $277,285,000.00 ",B
2022,RIVER BANK & TRUST,728,AL," $312,733.52 "," $227,670,000.00 ",B
2022,MICHIGAN FIRST CREDIT UNION,658,MI," $246,686.93 "," $162,320,000.00 ",C
2022,LATINO COMMUNITY CREDIT UNION,657,NC," $199,277.02 "," $130,925,000.00 ",C
2022,CHICKASAW COMMUNITY BANK,643,OK," $197,939.35 "," $127,275,000.00 ",B
2022,GESA CREDIT UNION,631,WA," $370,958.80 "," $234,075,000.00 ",C
2022,THE FIRST BANK,631,MS," $365,950.87 "," $230,915,000.00 ",B
2022,UNION BANK AND TRUST COMPANY,621,AR," $274,291.47 "," $170,335,000.00 ",B
2022,ROYAL BUSINESS BANK,577,CA," $503,318.89 "," $290,415,000.00 ",B
2022,KINECTA FEDERAL CREDIT UNION,575,CA," $1,228,165.22 "," $706,195,000.00 ",C
2022,SELF-HELP FEDERAL CREDIT UNION,557,NC," $216,938.96 "," $120,835,000.00 ",C
