Activity Year,Name of CDFI Loan Fund,Number of Loans from Jan 1-Dec 31,CDFI Headquarters State," Average Loan Size (Perameters: $3MM-$70,000 ", Total 
2022,"Change Lending, LLC",11839,CA," $501,595.01 "," $5,938,383,278.00 "
2022,"Lakeview Community Capital, LLC",6320,PA," $252,396.26 "," $1,595,144,378.00 "
2022,"Champions Funding, LLC",799,AZ," $481,921.23 "," $385,055,062.00 "
2022,"Homewise, Inc.",422,NM," $211,368.37 "," $89,197,451.00 "
2022,HomeSight,114,WA," $252,781.32 "," $28,817,071.00 "
2022,"Home Headquarters, Inc.",94,NY," $125,892.98 "," $11,833,940.00 "
2022,Capital Plus Financial,76,TX," $164,187.04 "," $12,478,215.00 "
2022,Neighborhood Finance Corporation,68,IA," $144,313.03 "," $9,813,286.00 "
2022,"New Hampshire Community Loan Fund, Inc.",66,NH," $142,209.09 "," $9,385,800.00 "
2022,"TCHFH Lending, Inc.",48,MN," $260,487.50 "," $12,503,400.00 "
2022,"Northeast Entrepreneur Fund, Inc.",46,MN," $312,351.98 "," $14,368,191.00 "
2022,"Affordable Homes of South Texas, Inc.",44,TX," $114,338.86 "," $5,030,910.00 "
2022,Florida Community Loan Fund,32,FL," $635,415.62 "," $20,333,300.00 "
2022,Capital for Change,28,CT," $353,499.93 "," $9,897,998.00 "
2022,"The Housing Fund, Inc.",26,TN," $289,847.31 "," $7,536,030.00 "
2022,"Renaissance Community Loan Fund, Inc.",24,MS," $139,388.12 "," $3,345,315.00 "
2022,Montana Community Development Corporation,21,MT," $219,393.24 "," $4,607,258.00 "
2022,"Neighborhood Lending Services, Inc.",21,IL," $201,503.62 "," $4,231,576.00 "
2022,Community First Fund,20,PA," $361,859.95 "," $7,237,199.00 "
2022,FINANTA,20,PA," $180,218.75 "," $3,604,375.00 "
2022,Aura Mortgage Advisors,16,MA," $242,812.50 "," $3,885,000.00 "
2022,CHN Housing Capital,16,OH," $107,695.94 "," $1,723,135.00 "
2022,CLIMB Fund,16,SC," $164,689.56 "," $2,635,033.00 "
2022,Craft3,16,WA," $176,175.31 "," $2,818,805.00 "
2022,Greater Minnesota Housing Fund,16,MN," $1,884,750.00 "," $30,156,000.00 "
2022,CommunityWorks,14,SC," $311,377.79 "," $4,359,289.00 "
2022,"Colorado Enterprise Fund, Inc.",13,CO," $173,687.69 "," $2,257,940.00 "
2022,"Community Loan Fund of New Jersey, Inc.",12,NJ," $473,173.17 "," $5,678,078.00 "
2022,Impact Development Fund,12,CO," $343,975.00 "," $4,127,700.00 "
2022,"Ithaca Neighborhood Housing Services, Inc.",12,NY," $220,850.00 "," $2,650,200.00 "
2022,Sustainable Neighborhoods LLC,12,NY," $136,913.58 "," $1,642,963.00 "
2022,Choctaw Home Finance Corporation,11,OK," $103,137.45 "," $1,134,512.00 "
2022,NHS Neighborhood Lending Services,10,CA," $157,640.00 "," $1,576,400.00 "
2022,California Coastal Rural Development Corporation,9,CA," $353,333.33 "," $3,180,000.00 "
2022,Haa Yakaawu Financial Corporation,9,AK," $155,458.44 "," $1,399,126.00 "
2022,Opportunity Resource Fund,8,MI," $130,552.62 "," $1,044,421.00 "
2022,New Hope Community Capital Inc.,7,MA," $1,825,349.00 "," $12,777,443.00 "
2022,Southern Bancorp Capital Partners,7,AR," $242,364.29 "," $1,696,550.00 "
2022,"Affordable Housing Resources, Inc.",6,TN," $202,734.17 "," $1,216,405.00 "
2022,Columbus Housing Initiative,6,GA," $123,916.67 "," $743,500.00 "
2022,Hartford Community Loan Fund,6,CT," $333,358.17 "," $2,000,149.00 "
2022,California FarmLink,5,CA," $437,000.00 "," $2,185,000.00 "
2022,Justine Petersen Housing & Reinvestment Corporation,5,MO," $177,692.80 "," $888,464.00 "
2022,National Asian American Coalition,5,CA," $97,000.00 "," $485,000.00 "
2022,Valley Small Business Development Corporation,5,CA," $300,000.00 "," $1,500,000.00 "
2022,CDCLI Funding Corporation,4,NY," $122,625.00 "," $490,500.00 "
2022,"Enterprise Community Loan Fund, Inc.",4,MD," $1,481,769.50 "," $5,927,078.00 "
2022,"Housing Development Fund, Inc.",4,CT," $89,812.50 "," $359,250.00 "
2022,Network for Oregon Affordable Housing,4,OR," $2,017,336.00 "," $8,069,344.00 "
2022,Northland Foundation,4,MN," $107,500.00 "," $430,000.00 "
2022,SNAP Financial Access,4,WA," $198,434.25 "," $793,737.00 "
2022,African Development Center,3,MN," $211,066.67 "," $633,200.00 "
2022,City First Enterprises Inc,3,DC," $1,666,833.33 "," $5,000,500.00 "
2022,"Community Ventures Corporation, Inc.",3,KY," $129,480.33 "," $388,441.00 "
2022,"Cook Inlet Lending Center, Inc.",3,AK," $199,927.33 "," $599,782.00 "
2022,Housing Trust Silicon Valley,3,CA," $1,153,266.67 "," $3,459,800.00 "
2022,Latino Economic Development Center,3,MN," $210,000.00 "," $630,000.00 "
2022,Northwest Native Development Fund,3,WA," $409,890.00 "," $1,229,670.00 "
2022,"Solitas House, Inc.",3,FL," $171,140.00 "," $513,420.00 "
2022,"The Working World, Inc. dba Seed Commons",3,NY," $351,666.67 "," $1,055,000.00 "
2022,Citizen Potawatomi Community Development Corporation,2,OK," $73,300.00 "," $146,600.00 "
2022,"Civic Community Partners, Inc.",2,CA," $575,000.00 "," $1,150,000.00 "
2022,"Colorado Housing Enterprises, LLC",2,CO," $580,000.00 "," $1,160,000.00 "
2022,Economic Development and Financing Corporation,2,CA," $241,023.50 "," $482,047.00 "
2022,"HomesFund (La Plata Homes Fund, Inc.)",2,CO," $140,175.00 "," $280,350.00 "
2022,Low Income Investment Fund,2,CA," $3,000,000.00 "," $6,000,000.00 "
2022,Lowell Community Loan Fund,2,MA," $81,256.50 "," $162,513.00 "
2022,Midwest Minnesota Community Development Corporation,2,MN," $162,900.00 "," $325,800.00 "
2022,NACDC Financial Services Inc.,2,MT," $287,412.50 "," $574,825.00 "
2022,Neighborhood Community Development Fund,2,PA," $171,500.00 "," $343,000.00 "
2022,NEIGHBORHOOD DEVELOPMENT CENTER,2,MN," $225,000.00 "," $450,000.00 "
2022,PACE Finance Corporation,2,CA," $300,000.00 "," $600,000.00 "
2022,Santa Fe Community Housing Trust,2,NM," $176,605.50 "," $353,211.00 "
2022,South Eastern Development Foundation,2,SD," $150,000.00 "," $300,000.00 "
2022,"Chattanooga Neighborhood Enterprise, Inc.",1,TN," $245,471.00 "," $245,471.00 "
2022,"Community Reinvestment Fund, Inc",1,MN," $77,000.00 "," $77,000.00 "
2022,HHOC Mortgage,1,HI," $72,600.00 "," $72,600.00 "
2022,Lake Superior Community Development Corp.,1,MI," $218,215.00 "," $218,215.00 "
2022,Leviticus 25:23 Alternative Fund Inc,1,NY," $578,000.00 "," $578,000.00 "
2022,Midlands Housing Trust Fund,1,SC," $153,000.00 "," $153,000.00 "
2022,"Montana Homeownership Network, Inc. The",1,MT," $224,000.00 "," $224,000.00 "
2022,Mountain Housing Opportunities Loan Fund,1,NC," $272,250.00 "," $272,250.00 "
2022,"NeighborGood Partners, Inc.",1,DE," $138,000.00 "," $138,000.00 "
2022,"Neighborhood Housing Services of Duluth, Inc.",1,MN," $81,200.00 "," $81,200.00 "
2022,"NewTown Loans, LLC",1,GA," $138,700.00 "," $138,700.00 "
