Organization Name,Number,City,State,Zipcode,Address,Organization Website,
Village Capital Corporation,31717,Cleveland,OH,44104--000,11327 Shaker Boulevard  Suite 500W,www.clevelandnp.org,
"Change Lending, LLC",29767,Anaheim,CA,92808,"175 N. Riverview Drive, suite D",www.changemtg.com,
"Lakeview Community Capital, LLC",21176,Horsham,PA,19044,"507 Prudential Road, Suite 100B",http://www.lakeviewcommunitycapital.com/,
"Champions Funding, LLC",2305,Gilbert,AZ,85297,"365 E Germann Rd
Suite 140",www.champstpo.com,
"Homewise, Inc.",1741,Santa Fe,NM,87507--311,"1301 Siler Road, Bldg D",www.homewise.org,
Neighborhood Finance Corporation,1142,Des Moines,IA,50310,4908 Franklin Ave,http://www.neighborhoodfinance.org,
"Home Headquarters, Inc.",717,Syracuse,NY,13204--242,"538 Erie Blvd., West,  Suite 100",www.homehq.org,
HomeSight,464,Seattle,WA,98118--192,5117 Rainier Avenue South,www.homesightwa.org,
CHN Housing Capital,320,Cleveland,OH,44114--444,"2999 Payne Avenue, Ste. 134",https://chnhousingcapital.org/,
"New Hampshire Community Loan Fund, Inc.",285,Concord,NH,03301--374,7 Wall Street,www.communityloanfund.org,
"Housing Development Fund, Inc.",275,Stamford,CT,06901--169,100 Prospect Street  Suite 100,www.hdfconnects.org,
Sustainable Neighborhoods LLC,261,New York,NY,10004--200,"55 Broad Street, 10th Floor",http://cnycn.org/,
Impact Development Fund,250,Loveland,CO,80537--487,200 E. 7th St. #412,http://www.impactdf.org,
"Great Rivers Community Capital, Incorporated",243,St. Louis,MO,63106--164,"1023 N. Grand Blvd.	",http://www.justinepetersen.org/small_business/great_rivers_community_capital1/,
Opportunity Resource Fund,228,Lansing,MI,48912--231,330 Marshall Street  Suite 105,http://www.oppfund.org,
Community Investment Corporation,227,Chicago,IL,60606--610,222 South Riverside Plaza  Suite 380,www.cicchicago.com,
"Prestamos CDFI, LLC",216,Phoenix,AZ,85034--404,1024 E. Buckeye Road   Suite 270,prestamosloans.com,
Lowell Community Loan Fund,198,Lawrence,MA,01840--186,"50 Island Street, Suite 103",www.mccinvest.org,
"Northeast Entrepreneur Fund, Inc.",197,Duluth,MN,55802--197,"202 West Superior Street
Suite 311",http://www.entrepreneurfund.org,
"TCHFH Lending, Inc.",196,St. Paul,MN,55104--342,1954 University Ave W,http://home.tchabitat.org/tchfh-lending-inc,
Neighborhood Housing Finance Corporation,171,Quincy,MA,02169--571,422 Washington Street,www.nhsmass.org,
"Community Housing Capital, Inc.",159,Decatur,GA,30030--240,402 E. Howard Avenue,CommunityHousingCapital.org,
"The Housing Fund, Inc.",156,Madison,TN,37116,P.O. Box 657,http://www.thehousingfund.org,
Local Initiatives Support Corporation,156,New York,NY,10005,"28 Liberty Street
Floor 34",www.lisc.org,
Community First Fund,149,Lancaster,PA,17608--052,P.O. Box 524,www.communityfirstfund.org,
Century Housing Corporation,147,Culver City,CA,90230--761,1000 Corporate Pointe,http://www.centuryhousing.org,
Capital Plus Financial,146,Bedford,TX,76021,2247 Central Dr.,www.capitalplusfin.com,
Massachusetts Housing Investment Corporation,144,Boston,MA,02110--352,"21 Custom House Street, 8th Floor",http://www.mhic.com,
Capital Impact Partners,122,Arlington,VA,22202--416,"1400 Crystal Drive, Suite 500",www.capitalimpact.org,
"Colorado Enterprise Fund, Inc.",117,Denver,CO,80203--116,"1888 Sherman Street, Suite 530",http://coloradoenterprisefund.org,
"Renaissance Community Loan Fund, Inc.",113,Gulfport,MS,39503--601,8917 Lorraine Road,www.rclfms.com,
"Neighborhood Lending Services, Inc.",110,Chicago,IL,60607,"850 W Jackson Blvd., Suite 500",www.nhschicago.org,
Cinnaire Lending Corporation,105,Chicago,IL,60606--241,225 West Washington Street  Suite 1350,www.cinnaire.com,
DAYTON REGION NEW MARKET FUND LLC,100,Dayton,OH,45402--190,8 North Main Street,www.citywidedev.com,
"Bridgeway Capital, Inc.",96,Pittsburgh,PA,15219,"310 Grant Street, Suite 2800",www.bridgewaycapital.org,
Rural Nevada Development Corporation,96,Ely,NV,89301--164,1320 E Aultman Street,http://www.rndcnv.org,
"HomesFund (La Plata Homes Fund, Inc.)",94,Durango,CO,81302--217,PO Box 2179,www.homesfund.org,
South Eastern Economic Development Corporation,94,Taunton,MA,02780--271,80 Dean Street,http://www.seedcorp.com,
Craft3,88,Seattle,WA,98104,"409 Maynard Avenue South, Suite 200",http://www.craft3.org,
"Affordable Homes of South Texas, Inc.",88,McAllen,TX,78501--522,1420 Erie Ave.,www.ahsti.org,
IFF,82,Chicago,IL,60604--410,"333 South Wabash Avenue
Suite 2800",www.iff.org,
"Utica Neighborhood Housing Services, Inc.",79,Utica,NY,13501--473,1611 Genesee Street,http://www.thehomeownershipcenter.org,
NHS Neighborhood Lending Services,77,Los Angeles,CA,90010--330,"3926 Wilshire Blvd,  Ste. 200",www.nhslacounty.org,
"Ithaca Neighborhood Housing Services, Inc.",70,Ithaca,NY,14850--563,115 West Clinton Street,www.ithacanhs.org,
Choctaw Home Finance Corporation,69,Hugo,OK,74743--801,P.O. Box G,www.choctawhomefinance.web-loans.com,
"Colorado Housing Enterprises, LLC",69,"Westminster	",CO,80030--170,"7305 Lowell Blvd.  Suite 200	",www.crhdc.org,
Rural Community Assistance Corporation,68,West Sacramento,CA,95691--501,3120 Freeboard Drive  Suite 201,www.rcac.org,
Montana Community Development Corporation,67,Missoula,MT,59802--453,229 East Main,www.mofi.org,
Grow South Dakota,66,Sisseton,SD,57262--190,104 Ash Street East,http://www.growsd.org,
"Chicago Community Loan Fund, The",65,Chicago,IL,60602--441,"29 East Madison Street, Suite 1700",www.cclfchicago.org,
Northern Maine Development Commission,64,Caribou,ME,04736--410,"11 West Presque Isle Road
PO Box 779",www.nmdc.org,www.crhdc.org
FINANTA,63,Philadelphia,PA,19122--450,1301 N. 2nd Street,http://www.finanta.org,
AltCap,61,Kansas City,MO,64111--153,"300 E. 39th Street, Suite  3G",http://www.altcap.org,
Florida Community Loan Fund,60,Orlando,FL,32803,"800 N. Magnolia Avenue
Suite 106",www.fclf.org,
"Community Loan Fund of New Jersey, Inc.",60,New Brunswick,NJ,08901--129,"100 Albany Street, Suite 250",www.newjerseycommunitycapital.org,
Columbus Housing Initiative,59,Columbus,GA,31902--162,PO Box 1620,http://nwcolumbus.org,
Small Business Assistance Corporation,55,Savannah,GA,31401--449,"111. E. Liberty Street, suite 100",www.sbacsav.com,
"Cooperative Business Assistance Corp, The",52,Camden,NJ,08102--152,328 Market Street,cbaclenders.com,
Greater Minnesota Housing Fund,52,St. Paul,MN,55101--131,332 Minnesota Street  Suite 1650 West,http://www.gmhf.com,
Invest Detroit Foundation,50,Detroit,MI,48243--180,600 Renaissance Center  Suite 1710,investdetroit.com,
"Coastal Enterprises, Inc.",50,Brunswick,ME,04011--151,"30 Federal Street
Suite 100",www.ceimaine.org,
"Affordable Housing Resources, Inc.",50,Nashville,TN,37228--152,"50 Vantage Way, Suite 107",www.ahrhousing.org,
Milwaukee Economic Development Corporation,50,Milwaukee,WI,53202--361,"757 North Broadway, Suite 600",http://www.medconline.com,
Capital for Change,50,Wallingford,CT,06492--243,10 Alexander Drive,www.capitalforchange.org,
CLIMB Fund,48,Charleston,SC,29403,2 Race Street,www.climbfund.org,
Aura Mortgage Advisors,48,Boston,MA,02119--177,10 Malcolm X Blvd,http://auramortgage.com/,
NeighborWorks Capital,48,Silver Spring,MD,20910--560,8484 Georgia Ave  Suite 330,www.neighborworkscapital.org,
NYBDC Local Development Corporation,47,Albany,NY,12207--153,50 Beaver Street,http://www.pursuitlending.com,
CommunityWorks,47,Greenville,SC,29606,PO Box 17826,http://communityworkscarolina.org,
Trenton Business Assistance Corporation,46,Mercerville,NJ,08619--163,3111 Quakerbridege Rd. - 2 floor,www.rbacloan.com,
CDCLI Funding Corporation,45,Melville,NY,11747,"1660 Walt Whitman Road, Suite 130",http://www.cdcli.org,
True Access Capital Corporation,45,Wilmington,DE,19801--165,100 West 10th St.  Suite 300,http://www.trueaccescapital.org,
"Community Ventures Corporation, Inc.",44,Lexington,KY,40505--316,1450 North Broadway,www.cvky.org,
California FarmLink,44,Aptos,CA,95003--395,335 Spreckels Dr. Suite F,http://www.californiafarmlink.org,
"TRP Lending, LLC",44,Chicago,IL,60608--272,1805 S Paulina St.,http://fullcirclehomes.org,
Hope Enterprise Corporation,42,Jackson,MS,39202--343,4 Old River Place  Suite A,https://www.hopecu.org,
Rocky Mountain Community Reinvestment Corporation,41,Salt Lake City,UT,84107,64 East Winchester Street Suite 330,www.rmcrc.org,
"Salt Lake Neighborhood Housing Services, Inc.",40,Salt Lake,UT,84116,622 West 500 North,www.nwsaltlake.org,
PIDC Community Capital,40,Philadelphia,PA,19102--211,1500 Market Street  Suite 3500 West,http://www.PIDCphila.com,
"Alaska Growth Capital BIDCO, Inc.",40,Anchorage,AK,99503,"3800 Centerpoint Drive, Suite 1100",http://www.alaskagrowth.com,
Valley Small Business Development Corporation,38,Fresno,CA,93711--076,7035 N. Fruit Avenue,http://VSBDC.com,
Rockford Community Investment Fund,38,Rockford,IL,61101,"120 W. State St., 306",Non given,
"Grow America Fund, Inc.",37,Boston,MA,02284--533,PO Box 845339,www.growamerica.org,
Housing Trust Silicon Valley,37,San Jose,CA,95113--183,"75 E Santa Clara Street, Suite 1350",http://www.housingtrustsv.org,
"Reinvestment Fund, Inc., The",37,Philadelphia,PA,19103--390,1700 Market Street  19th Floor,http://www.reinvestment.com,
Tulsa Economic Development Corporation,37,Tulsa,OK,74103--342,"125 W 3rd St, 2nd Fl",www.TEDCnet.com,
"Neighborhood Housing Services of Toledo, Inc.",36,Toledo,OH,43605--211,P. O. Box 8125,http://nwtoledo.org,
"Partner Community Capital, Inc.",35,Charles Town,WV,25414,P.O. Box 839,www.partnercapital.org,
"Access to Capital for Entrepreneurs, Inc.",35,Cleveland,GA,30528--838,3173 Highway 129 North,http://www.aceloans.org,
"Brightbridge, Inc.",35,Chattanooga,TN,37402,506 Broad Street,Non given,
Santa Fe Community Housing Trust,33,Santa Fe,NM,87592,PO Box 29237,www.housingtrustonline.org,
Southern Bancorp Capital Partners,32,Little Rock,AR,72211--350,"400 Hardin Road, Suite 100",www.southernpartners.org,
Ventura County Community Development Corporation,31,OXNARD,CA,93030,2231 Sturgis Road  Suite A,http://www.vccdc.org,
National Asian American Coalition,30,Daly City,CA,94015--141,"318 Westlake Center, Suite 270",http://www.naac.org,
"Cincinnati Development Fund, Inc.",28,Cincinnati,OH,45202--710,1224 Race Street,http://www.cincinnatidevelopmentfund.org,
"Impact Loan Fund, Inc.",28,Philadelphia,PA,19134--312,1952 East Allegheny Avenue,www.impactloanfund.org,
Detroit Development Fund,28,Detroit,MI,48202,"3031 W. Grand Blvd, Suite 505",www.detroitdevelopmentfund.com,
Housing Assistance Council,27,Washington,DC,20036,"1828 L Street NW, Suite 505",www.ruralhome.org,
Providence Revolving Fund,27,Providence,RI,02903--351,372 West Fountain Street,http://www.revolvingfund.org,
Nebraska Enterprise Fund,27,Oakland,NE,68045--113,330 N. Oakland Ave.,www.nebbiz.org,
Finance Fund Capital Corporation,26,Columbus,OH,43215,"366 East Broad Street, Suite 101",www.financefund.org,
"Neighborhood Housing Services of Duluth, Inc.",25,Duluth,MN,55805--187,12 East 4th St.,www.1roofhousing.org,
