Organization Name,City,State,Zipcode,Address,Organization Website,Number,Average Amount
"Change Lending, LLC",Anaheim,CA,92808,"175 N. Riverview Drive, suite D",www.changemtg.com,29387,494601.7953
Village Capital Corporation,Cleveland,OH,44104--000,11327 Shaker Boulevard  Suite 500W,www.clevelandnp.org,29001,246532.8684
"Lakeview Community Capital, LLC",Horsham,PA,19044,"507 Prudential Road, Suite 100B",http://www.lakeviewcommunitycapital.com/,19905,255443.866
"Champions Funding, LLC",Gilbert,AZ,85297,"365 E Germann Rd
Suite 140",www.champstpo.com,2299,444658.7564
"Homewise, Inc.",Santa Fe,NM,87507--311,"1301 Siler Road, Bldg D",www.homewise.org,1239,210043.5747
Neighborhood Finance Corporation,Des Moines,IA,50310,4908 Franklin Ave,http://www.neighborhoodfinance.org,308,151651.3506
"Home Headquarters, Inc.",Syracuse,NY,13204--242,"538 Erie Blvd., West,  Suite 100",www.homehq.org,291,130651.5876
HomeSight,Seattle,WA,98118--192,5117 Rainier Avenue South,www.homesightwa.org,283,241555.5018
Community Investment Corporation,Chicago,IL,60606--610,222 South Riverside Plaza  Suite 380,www.cicchicago.com,209,800323.8373
"TCHFH Lending, Inc.",St. Paul,MN,55104--342,1954 University Ave W,http://home.tchabitat.org/tchfh-lending-inc,194,230505.7268
"New Hampshire Community Loan Fund, Inc.",Concord,NH,03301--374,7 Wall Street,www.communityloanfund.org,173,138440.4624
Capital Plus Financial,Bedford,TX,76021,2247 Central Dr.,www.capitalplusfin.com,143,161265.4545
"Community Housing Capital, Inc.",Decatur,GA,30030--240,402 E. Howard Avenue,CommunityHousingCapital.org,129,771171.938
"Prestamos CDFI, LLC",Phoenix,AZ,85034--404,1024 E. Buckeye Road   Suite 270,prestamosloans.com,114,293658.0175
Community First Fund,Lancaster,PA,17608--052,P.O. Box 524,www.communityfirstfund.org,104,432236.5192
Cinnaire Lending Corporation,Chicago,IL,60606--241,225 West Washington Street  Suite 1350,www.cinnaire.com,102,967827.7157
DAYTON REGION NEW MARKET FUND LLC,Dayton,OH,45402--190,8 North Main Street,www.citywidedev.com,100,500000
Century Housing Corporation,Culver City,CA,90230--761,1000 Corporate Pointe,http://www.centuryhousing.org,86,999811.0465
Craft3,Seattle,WA,98104,"409 Maynard Avenue South, Suite 200",http://www.craft3.org,83,546665.253
"Bridgeway Capital, Inc.",Pittsburgh,PA,15219,"310 Grant Street, Suite 2800",www.bridgewaycapital.org,83,488839.9036
"Renaissance Community Loan Fund, Inc.",Gulfport,MS,39503--601,8917 Lorraine Road,www.rclfms.com,80,143073.2375
"Neighborhood Lending Services, Inc.",Chicago,IL,60607,"850 W Jackson Blvd., Suite 500",www.nhschicago.org,80,178381.575
IFF,Chicago,IL,60604--410,"333 South Wabash Avenue
Suite 2800",www.iff.org,79,581395.1139
"Affordable Homes of South Texas, Inc.",McAllen,TX,78501--522,1420 Erie Ave.,www.ahsti.org,79,111913.1899
"Northeast Entrepreneur Fund, Inc.",Duluth,MN,55802--197,"202 West Superior Street
Suite 311",http://www.entrepreneurfund.org,77,260711.7532
Rural Nevada Development Corporation,Ely,NV,89301--164,1320 E Aultman Street,http://www.rndcnv.org,76,159775.2105
"The Housing Fund, Inc.",Madison,TN,37116,P.O. Box 657,http://www.thehousingfund.org,76,329177.0658
CHN Housing Capital,Cleveland,OH,44114--444,"2999 Payne Avenue, Ste. 134",https://chnhousingcapital.org/,74,121386.0405
"Great Rivers Community Capital, Incorporated",St. Louis,MO,63106--164,"1023 N. Grand Blvd.	",http://www.justinepetersen.org/small_business/great_rivers_community_capital1/,65,145988.1692
"Chicago Community Loan Fund, The",Chicago,IL,60602--441,"29 East Madison Street, Suite 1700",www.cclfchicago.org,65,573216.9692
Impact Development Fund,Loveland,CO,80537--487,200 E. 7th St. #412,http://www.impactdf.org,65,387825.4154
Local Initiatives Support Corporation,New York,NY,10005,"28 Liberty Street
Floor 34",www.lisc.org,64,849870.2656
